date,daily_spend,cost_huf
2024.09.18.,google,128044
2024.09.19.,google,137322
2024.09.20.,google,124825
2024.09.21.,google,106588
2024.09.22.,google,144448
2024.09.23.,google,154221
2024.09.24.,google,116895
2024.09.25.,google,99603
2024.09.26.,google,100615
2024.09.27.,google,82325
2024.09.28.,google,77585
2024.09.29.,google,74405
2024.09.30.,google,75176
2024.10.01.,google,94234
2024.10.02.,google,117751
2024.10.03.,google,125995
2024.10.04.,google,110733
2024.10.05.,google,111679
2024.10.06.,google,117052
2024.10.07.,google,114000
2024.10.08.,google,136759
2024.10.09.,google,141151
2024.10.10.,google,137263
2024.10.11.,google,118320
2024.10.12.,google,128753
2024.10.13.,google,145504
2024.10.14.,google,97525
2024.10.15.,google,138535
2024.10.16.,google,103600
2024.10.17.,google,96200
2024.10.18.,google,102059
2024.09.18.,microsoft,10564
2024.09.19.,microsoft,12048
2024.09.20.,microsoft,8484
2024.09.21.,microsoft,6976
2024.09.22.,microsoft,6684
2024.09.23.,microsoft,9368
2024.09.24.,microsoft,9052
2024.09.25.,microsoft,10196
2024.09.26.,microsoft,10556
2024.09.27.,microsoft,10924
2024.09.28.,microsoft,10252
2024.09.29.,microsoft,9656
2024.09.30.,microsoft,10240
2024.10.01.,microsoft,11304
2024.10.02.,microsoft,11788
2024.10.03.,microsoft,13284
2024.10.04.,microsoft,14876
2024.10.05.,microsoft,10516
2024.10.06.,microsoft,12108
2024.10.07.,microsoft,22296
2024.10.08.,microsoft,18924
2024.10.09.,microsoft,19988
2024.10.10.,microsoft,19344
2024.10.11.,microsoft,21984
2024.10.12.,microsoft,17868
2024.10.13.,microsoft,17420
2024.10.14.,microsoft,18228
2024.10.15.,microsoft,18020
2024.10.16.,microsoft,18052
2024.10.17.,microsoft,17804
2024.10.18.,microsoft,16908
2024.09.18.,meta,35950
2024.09.19.,meta,53112
2024.09.20.,meta,61717
2024.09.21.,meta,64140
2024.09.22.,meta,73310
2024.09.23.,meta,118552
2024.09.24.,meta,121010
2024.09.25.,meta,112658
2024.09.26.,meta,112524
2024.09.27.,meta,49426
2024.09.28.,meta,39491
2024.09.29.,meta,39871
2024.09.30.,meta,22426
2024.10.01.,meta,13018
2024.10.02.,meta,21018
2024.10.03.,meta,19221
2024.10.04.,meta,18663
2024.10.05.,meta,20965
2024.10.06.,meta,22445
2024.10.07.,meta,21133
2024.10.08.,meta,27451
2024.10.09.,meta,28561
2024.10.10.,meta,31195
2024.10.11.,meta,31230
2024.10.12.,meta,30208
2024.10.13.,meta,33621
2024.10.14.,meta,25435
2024.10.15.,meta,45817
2024.10.16.,meta,62650
2024.10.17.,meta,69139
2024.10.18.,meta,66171
